Test,Rs
MRA Head and Neck Without Contrast,
MRA Leg With Contrast,
MRCP + MRI Pancreas with contrast,
MRI Abdomen & Pelvis With Contrast,
MRI Abdomen With Contrast,
MRI Anal Fistua (FIA) With Contrast,
MRI Angiogram of abdomen with contrast,
MRI Angiogram of abdomen without contrast,
MRI Angiogram of Chest without Contrast,
MRI Angiogram of Head & Neck With Contrast,
MRI Angiogram of lower limb without contrast,
MRI Angiogram of Upper limb without Contrast,
MRI Ankle With Contrast,
MRI Any Joint of Lower Limb Without Contrast,
MRI Arm With Contrast,
MRI Arm Without Contrast,
MRI Arthogram (Specify Region in Remarks),
MRI Both Shoulders With Contrast,
MRI Brachial Plexus With Contrast,
MRI Brain & Neck With Contrast,
MRI Brain & Neck Without Contrast,
MRI Brain and PNS with Contrast,
MRI Brain and PNS without Contrast,
MRI Brain I.A.C / I.A.M Without Contrast,
MRI Brain Perfusion Scan,
MRI Brain Pituitary Fossa With Contrast,
MRI Brain Pituitary Fossa Without Contrast,
MRI Brain With and Without Contrast,
MRI Brain With Contrast,
MRI Calf Without Contrast,
MRI Cervical Spine With and Without Contrast,
MRI Cervical Spine With Contrast,
MRI Cervico Dorsal Spine Without Contrast,
MRI Cervico-Dorsal and Lumbar Spine,
"MRI Chest, Abdomen and Pelvis With Contrast",
MRI Clavicle With Contrast,
MRI Clavicle Without Contrast,
MRI Dorsal Spine With & Without Contrast,
MRI Dorsal Spine Without Contrast,
MRI Dorso + Lumbar Spine Without Contrast,
MRI Dorsolumbar Spine,
MRI Elbow With Contrast,
MRI Enterogram with contrast,
MRI Face and Neck with Contrast,
MRI Foot With Contrast,
MRI Hand With Contrast,
MRI Hip Joint With Contrast,
MRI Hip Joint,
MRI Humerus With Contrast,
MRI Internal Auditory Canal (IAC) With Contrast,
MRI Internal Auditory Canal (IAC) Without Contrast,
MRI Knee Joint With Contrast,
MRI KUB With Contrast,
MRI KUB Without Contrast,
MRI Leg With Contrast,
MRI Liver Dynamic,
MRI Lower Limb With Contrast (Specify Region in Remarks),
MRI Lowr Limb Without Contrast (Specify Region in Remarks),
MRI Lumbar Spine With Contrast,
MRI Neck With Contrast,
MRI Neck Without Contrast,
MRI of Prostate,
MRI Orbit and Face With Contrast,
MRI Orbit and Face Without Contrast,
MRI Orbit With Contrast,
MRI Pelvis (Dynamic) With Contrast,
MRI Pelvis With and Without Contrast,
MRI Pelvis With Contrast,
MRI Peripheral Angiograms With Contrast,
MRI Peripheral Angiograms Without Contrast,
MRI Plain Any Region,
MRI PNS With Contrast,
MRI Reporting only (BDWI) (Per Study),
MRI Reporting Only (Per Study),
MRI Reporting three or more Regions,
MRI Reporting Two regions,
MRI Right Knee Joint Without Contrast,
MRI Sacroiliac Joint With Contrast,
MRI Shoulder With Contrast,
MRI Spectroscopy Prostate,
MRI Sternoclavicular With Contrast,
MRI Sternoclavicular Without Contrast,
MRI Thigh With Contrast,
MRI Thoracic Spine With & Without Contrast,
MRI Thoracic Spine with Contrast,
MRI Thoraco / Lumbar Spine With Contrast,
MRI Upper limb with Contrast (Specify region in remarks),
MRI Upper limb without Contrast (Specify region in remarks),
MRI Venogram (Brain),
MRI Venogram With Contrast (Specify regions in remarks),
MRI Venogram Without Contrast (Specify regions in remarks),
MRI With Contrast (Any Region),
MRI Wrist Both With Contrast,
MRI Wrist Both Without Contrast,
MRI Wrist Single With Contrast,
MRSA PCR (Methicillin Resistant StAPhylococcus Aureus),
MRV Brain With Contrast,
MTB PCR Qualitative,
Multiphasic CT Abdomen and CT Chest,
Mumps Antibodies IgG,
Muscle Enzymes Profile,
Nail for Fungus C/S with Fungus Stain (KOH),
Nail for Fungus Stain/Fungal Smear (KOH),
Nasal Secretions for Glucose,
Nasal Swab AFB Smear/ZN Stain,
Nasal Swab for Bacterial C/S (Aerobic),
Nasal Swab for Fungus C/S with Fungus Stain (KOH),
Nasal Swab for Fungus Stain/Fungal Smear (KOH),
Nasal Swab for Gram Stain,
Neonatal Sepsis Score (Revised),
Nucleated Rbcs,
Opiates,
Osteoporosis Profile,
P2Y12 Blockade Test,
Pancreatic Fluid for AFB Smear/ZN Stain,
Pancreatic fluid for Bacterial C/S (Aerobic) with Gram Stain,
Pancreatic Fluid for Fungus C/S with Fungus Stain (KOH),
Pancreatic Fluid for Fungus Stain/Fungal Smear (KOH),
Pancreatic Fluid for Gram Stain,
PAP Smear for Cytological Examination (Slides),
PAP Smear for LBC,
Parietal Cell Ab,
PAS Stain (Specimen Name:,
Pericardial Fluid for AFB Smear/ZN Stain,
Pericardial Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Pericardial Fluid for Fungus C/S with Fungus Stain (KOH),
Pericardial Fluid for Fungus Stain/Fungal Smear (KOH),
Pericardial Fluid for Gram Stain,
Peritoneal Fluid for AFB Smear/ZN Stain,
Peritoneal Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Peritoneal Fluid for Fungus C/S with Fungus Stain (KOH),
Peritoneal Fluid for Fungus Stain/Fungal Smear (KOH),
Peritoneal Fluid for Gram Stain,
pH (CSF),
pH & Reducing Substances (Stool),
pH & Reducing Substances (Urine),
Phencyclidine,
Phlebotomy For Polycythemia Patient,
Phosphate (24 Hrs Urine),
Phosphate (Spot Urine),
Phospholipid Syndrome Profile,
Pituitary Functions Profile,
Plasma Ammonia,
Plasma BNP,
Plasma Direct Renin,
Plasma Glucose (1 hour after 50 g Glucose),
Plasma Glucose (2 hrs Postprandial),
Plasma Glucose (After Dinner),
Plasma Glucose (After Lunch),
Plasma Glucose (Before Dinner),
Plasma Glucose (Before Lunch),
Plasma Glucose (Fasting),
Plasma Lactate,
Platelet Aggregation Study with History,
Platelet Concentrate Single Unit (Random Donor),
Platelet Rich Plasma for Platelet count,
Pleural Fluid for AFB Smear/ZN Stain,
Pleural Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Pleural Fluid for Fungus C/S with Fungus Stain (KOH),
Pleural Fluid for Fungus Stain/Fungal Smear (KOH),
Pleural Fluid for Gram Stain,
Porphobilinogen (24 Hrs Urine),
Porphyrin,
Potassium (24 hours Urine),
Potassium (Spot Urine),
Pre-Marital Profile,
Prenatal Profile,
Pro-BNP / N-Terminal (NT) Pro-BNP,
Protein (Fluid),
Protein Electrophoresis,
Protein/Creatinine Ratio (Spot Urine),
PUS SWAB for AFB Smear/ZN Stain,
PUS SWAB for Bacterial C/S (Aerobic) with Gram Stain (Specimen Name:,
PUS SWAB for Fungus C/S with Fungus Stain (KOH),
PUS SWAB for Fungus Stain/Fungal Smear (KOH),
PUS SWAB for Gram Stain,
PUS SYRINGE for AFB Smear/ZN stain,
PUS SYRINGE for Bacterial C/S (aerobic) with Gram Stain,
PUS SYRINGE for cytology,
PUS SYRINGE for Fungus C/S with Fungus Stain (KOH),
PUS SYRINGE for Fungus Stain/Fungal Smear (KOH),
PUS SYRINGE for Gram Stain,
RBC Morphology,
Red Cell Antibody Identification,
Red Cell Antibody Screen / Indirect Coombs,
Red Cell Folic Acid (Whole Blood),
Renal Biopsy for H/P & (Immunofluorescence and Light Microscopy),
Respiratory Pathogen,
Rh Antibodies (Anti D Antibodies) Titer,
Rheumatology Profile (Rheumatoid Disease),
Rotavirus & Adenovirus Antigen,
Semen for Bacterial C/S (Aerobic) with Gram Stain,
Semen for Fungus C/S e Fungus Stain (KOH),
Semen for Fungus Stain/Fungal Smear (KOH),
Semen for Gram Stain,
Senior Citizen Men Health Profile,
Senior Citizen Women Health Profile,
Septicemia (Blood) Infectious Panel,
Acetylcholine Receptor Abs (ACRA),
Serum Anti-LKM Antibodies,
Serum Anti-PR3 (c-ANCA),
Serum Anti-Sperm Antibodies,
Serum Ascites Albumin Gradient (SAAG),
Serum ASO,
Serum Beta hCG (Male),
Serum Brucella IgG,
Serum Brucella IgM,
C-Peptide,
Serum Calcium (Corrected),
Serum Chitinase-3 like Protein-1,
Serum Conjugated Bilirubin,
Serum Dihydrotestosterone (DHT),
Serum Echinococcus IgG,
Serum FTA-Absorption (Fluorescent Treponemal Antibodies),
Growth Hormone,
Serum Haptoglobin,
Serum Human IgG 4,
Serum IGF-1,
Serum IgG,
Serum IgM,
Serum IL-6,
Serum Kappa Lambda Ratio,
Serum Kappa Light Chain,
Serum Lambda Light Chain,
Serum LH,
Serum Non HDL-Cholesterol,
Serum Phenytoin (Dilantin),
Serum PIVKA - II Level,
Serum RPR/VDRL,
Serum Total Cholesterol,
Serum Transferrin,
Serum Treponema pallidum Antibodies (Syphilis),
Serum Unconjugated Bilirubin,
Serum Uric Acid,
Sigmoidoscopy,
Sinus Screation for Bacterial C/S (Aerobic) WITH Gram Stain,
Sirolimus (Whole Blood),
Skin ScrAPping for Fungus C/S with Fungus Stain (KOH),
Skin ScrAPping for Fungus Stain/Fungal Smear (KOH),
Specific Gravity (CSF),
Specific Gravity (Spot Urine),
Spot Urine Urea,
Sputum for AFB Stain,
Sputum for Bacterial C/S (Aerobic),
Sputum for D/R,
Sputum for Fungus C/S with Fungus Stain (KOH),
Sputum for Fungus Stain/Fungal Smear (KOH),
Stone for Chemical Analysis,
Stool for C/E With Occult Blood,
Stool for C/S (Salmonella/Shigella/Vibrio spp.),
Stool for Calprotectin,
Stool for Helicobacter Pylori Antigen,
Stool for Undigested Food Particles,
Swab for AFB Smear/ZN Stain,
Swab for Fungus C/S with Fungus Stain (KOH) (Specimen Name:,
Swab for Fungus Stain/Fungal Smear (KOH) (Specimen Name:,
Swab for Gram Stain (Specimen Name:,
Swine Flu PCR (H1N1),
Synovial Fluid for AFB Smear/ZN Stain,
Synovial Fluid for Analysis with Uric Acid Crystals,
Synovial Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Synovial Fluid for Fungus C/S with Fungus Stain (KOH),
Synovial Fluid for Fungus Stain/Fungal Smear (KOH),
Synovial Fluid for Gram Stain,
Systemic Lupus Erythematosus Profile,
T. Spot TB,
Tacrolimus (Whole Blood),
Throat Swab for Bacterial C/S (Aerobic),
Thrombophilia Profile,
Tissue Biopsy for AFB Smear/ZN Stain,
Tissue Biopsy for Bacterial C/S (Aerobic) with Gram Stain,
Tissue Biopsy for Fungus C/S with Fungus Stain (KOH),
Tissue Biopsy for Fungus Stain/Fungal Smear (KOH),
Tissue Biopsy for Gram Stain,
Torch Profile with Herpes IgM,
Total Protein Group,
Total RBC,
Toxoplasma IgG,
Toxoplasma IgM,
Tracheal Secretions for Bacterial C/S (Aerobic) with Gram Stain,
Tracheostomy Swab for Bacterial C/S (Aerobic) with Gram Stain,
Transvaginal USG,
Treponema pallidum Antibodies (Syphilis) (CSF),
Tricyclic Antidepressants,
Ultra Sound (USG): Abdomen & Prostate,
Ultra Sound (USG): Abdominal USG (Paeds),
Ultra Sound (USG): Antenatal Fetal Feet,
Ultra Sound (USG): Ascitic TAP,
Ultra Sound (USG): Aspiration Under USG Control,
Ultra Sound (USG): Bilateral Shoulder,
Ultra Sound (USG): Both Breasts,
Ultra Sound (USG): Carotid Doppler,
Ultra Sound (USG): Cirrhotic Liver Color Doppler,
Ultra Sound (USG): Color Doppler (Both Lower Extremities),
Ultra Sound (USG): Color Doppler (Both Lower Extremities For DVT),
Ultra Sound (USG): Color Doppler USG Transplanted Kidney,
Ultra Sound (USG): DOPPLER EVALUATION OF AVF,
Ultra Sound (USG): FNAC (Procedure),
Ultra sound (USG): for (Rt/Lt) Knee Joints,
Ultra Sound (USG): for Residual Urine Only,
Ultra Sound (USG): Iliac Vessels Doppler Studies,
Ultra Sound (USG): Marking for Aspiration,
Ultra Sound (USG): Obstetrical 3rd Trimester USG With Fetal Doppler & BPP,
Ultra Sound (USG): Obstetrical Triplets USG Third Trimester With Biophysical Profile Color Doppler,
Ultra Sound (USG): Obstetrical Ultra sound (USG): Third Trimester (Twins) With Biophysical Profile,
Ultra Sound (USG): Obstetrical USG First Trimester,
Ultra Sound (USG): Obstetrical USG First Trimester (Triplets),
Ultra Sound (USG): Obstetrical USG First Trimester (TWINS),
Ultra Sound (USG): Obstetrical USG Second Trimester (Triplets),
Ultra Sound (USG): Obstetrical USG Second Trimester (TWINS),
Ultra Sound (USG): PCN (Percutaneous Nephrostomy),
Ultra Sound (USG): Penile doppler Ultrasound,
Ultra Sound (USG): Pleural TAP,
Ultra Sound (USG): Repeat Scan for Gallbladder After Fasting,
Ultra Sound (USG): Right Breast,
Ultra Sound (USG): Right Lower Extremity Color Doppler,
Ultra Sound (USG): Saphenous Vein Mapping,
Ultra Sound (USG): Scrotal Doppler USG,
Ultra Sound (USG): Single Arm Arterial Color Doppler,
Ultra Sound (USG): Superficial Lump,
Ultra Sound (USG): Therapeutic TAP,
Ultra Sound (USG): Trans-rectal (Trus),
Ultra Sound (USG): TRUCUT USG Guided Biopsy,
Ultra Sound (USG): TRUS (Transrectal) USG Guided Biopsy,
Ultra Sound (USG): TVS Guided Aspiration / Biopsy,
Ultra Sound (USG): Ankle Joint/Foot,
Ultra Sound (USG): Elbow Joint/forearm,
Ultra Sound (USG): For AVF Mapping,
Ultra Sound (USG): For liver post transplant,
Ultra Sound (USG): For preoperative liver transplant,
Ultra Sound (USG): Lexicon (BREAST ULTRASOUND),
Ultra Sound (USG): Musculoskeletal,
Ultra Sound (USG): Neonatal Hip Joints,
Ultra Sound (USG): Wrist joint and hand,
Ultra Sound (USG): Bilateral Leg Varicose Viens,
Ultra Sound (USG): Renal Arteries Color Doppler,
Ultra Sound (USG): Scrotal Scan (Non Doppler),
Ultra Sound (USG): Adult Hip Joint,
Ultra Sound (USG): Neonatal Spine,
Ultra Sound (USG): Palpable Soft Tissue Masses,
Urea Clearance,
Urea Clot Lysis ( For Factor Xlll Screening),
Urethral Discharge Swab for Bacterial C/S (Aerobic) with Gram Stain,
Urethral Swab for Bacterial C/S (Aerobic) with Gram Stain,
Urethral Swab for Gonorrhea C/S,
Uric Acid/Creatinine Ratio (Spot Urine),
Urinary Calcium/Creatinine Ratio (Spot),
Urinary Citrate (24 hours),
Urinary Sodium (24 hours),
Urine Albumin Creatinine Ratio (ACR),
Urine Bile Pigment,
Urine C/E,
Urine Creatinine (Spot),
Urine for Bacterial C/S (Aerobic),
Urine for Fungus C/S with Fungus Stain (KOH),
Urine for Fungus Stain/Fungal Smear (KOH),
Urine for Gram Stain,
Urine Porphobilinogen (Spot),
Urine Sodium (Spot),
Urine Sugar,
Urine Sugar 1 Hrs,
Urine Sugar 0.5 Hrs,
Urine Sugar 1.5 Hrs,
Urine Sugar 2 Hrs,
Urine Sugar 2.5 Hrs,
Urine Sugar 3 Hrs,
Urine Sugar Fasting,
Valproic Acid (Epillium),
Vitreous Aspirate for Bacterial C/S (Aerobic) with Gram Stain,
Vitreous TAP for Bacterial C/S (Aerobic) with Gram Stain,
von Willebrand Antigen,
Washed RBCs Pack Cell,
WBC Count (TLC),
WBC Count (TLC) (BODY FLUID ),
WBCs Morphology,
Well Women Health Profile,
Wound Secreaion for Gram Stain,
Wound Secretion for Bacterial C/S (Aerobic) with Gram Stain,
Wound Secretion for Fungus C/S with Fungus Stain (KOH),
Wound Secretion for Fungus Stain/Fungal Smear (KOH),
Wound Swab for AFB Smear/ZN Stain,
Wound Swab for Bacterial C/S (Aerobic) with Gram Stain (Specimen Name:,
Wound Swab for Fungus C/S with Fungus Stain (KOH),
Wound Swab for Fungus Stain/Fungal Smear (KOH),
Wound Swab for Gram Stain,
X-Proc IVP,
X-Proc IVP without Medicines,
X-Ray Abdomen Erect PA View,
X-Ray Abdomen Supine,
X-Ray Ankle AP View,
X-Ray Ankle Lat View,
X-Ray Big Toe,
X-Ray Bone Age Studies,
X-Ray Both Knees Lat View,
X-Ray Both S.I Joint,
X-Ray Both Wrist AP/Lat,
X-Ray Calcaneus -AP & LAT,
X-Ray Cervical Spine AP View,
X-Ray Cervical Spine LAT View,
X-Ray Chest LAT View,
X-Ray Clavicle AP View,
X-Ray Cr (1X2),
X-Ray Cr (1X4),
X-Ray Dorsal Lumbar Spine AP View,
X-Ray Dorsal Lumbar Spine Lat View,
X-Ray Ear Both,
X-Ray Elbow AP View,
X-Ray Elbow Lat View,
X-Ray Facial Bones,
X-Ray Femur AP/Lat,
X-Ray Finger AP View,
X-Ray Flexion and Extension View,
X-Ray Foot AP/Lat,
X-Ray Foot Lat View,
X-Ray Forearm AP View,
X-Ray ForeArm AP/Lat,
X-Ray Forearm Lat View,
X-Ray Hand Lat View,
X-Ray Heel Lat,
X-Ray Heel AP & Lat View,
X-Ray Heel AP View,
X-Ray Hip AP View,
X-Ray Hip Lat view,
X-Ray Humerus AP View,
X-Ray Humerus Lat View,
X-Ray Knee AP View,
X-Ray Knee AP/Lat (Two Views),
X-Ray Knee Lat View,
X-Ray KUB,
X-Ray Leg AP,
X-Ray Limb Salvage Study,
X-Ray Lower Extremity of infant,
X-Ray Lumber Spine AP,
X-Ray Lumber Spine Lateral,
X-Ray Mandible,
X-Ray Mandible AP & Lat View,
X-Ray Mandible AP View,
X-Ray Mandible Lat View,
X-Ray Mastoid AP View,
X-Ray Mastoid AP& Lat View,
X-Ray Mastoid Lat View,
X-Ray Nasal Bone,
X-Ray Neck Lat,
X-Ray Orbit AP & Lat View,
X-Ray Orbit AP View,
X-Ray Orbit Lat View,
X-Ray Pelvis & Hip - Child,
X-Ray Pelvis AP View,
X-Ray Pelvis AP/Lat (Peads),
X-Ray Pelvis Lat View,
X-Ray Pituitary fossa or sella turcica,
X-Ray Pns 45 degree,
X-Ray Portaable (Cxr) (1X2),
X-Ray Portaable (Cxr) (1X3),
X-Ray Portaable (Cxr) (1X4),
X-Ray Ribs AP & Lat View,
X-Ray Ribs- Unilateral,
X-Ray Sacral Spine - AP View,
X-Ray Sacral Spine - Lat view,
X-Ray Sacrum Spine - AP & LAT View,
X-Ray Sacrum Spine - AP View,
X-Ray Scapula - AP & LAT,
X-Ray Shoulder AP,
X-Ray Shoulder Both AP View,
X-Ray Shoulder Both Lat View,
X-Ray Skeletal Survey,
X-Ray Soft Tissue Neck,
X-Ray Sternoclavicular Joint,
X-Ray Sternum - AP & LAT,
X-Ray Temporo mandibular (TMJ) Joint AP & LAT VIEW,
X-Ray Thoracic Spine - AP View,
X-Ray Thoracic Spine - Lat View,
X-Ray Tiba Fibula AP/Lat (Two Views),
X-Ray Tibia Fibula - Lat View,
X-Ray Tibia Fibula - AP View,
X-Ray Wrist - Lat View,
X-Ray Wrist -AP View,
,
